id,title,category
228,Establish survey control points,Site Setup & Safety
229,Pre-construction walkthrough meeting,Site Setup & Safety
230,Utility disconnects for demo,Demolition & Remediation
231,Hazardous material survey (asbestos/lead),Demolition & Remediation
232,Asbestos abatement (if needed),Demolition & Remediation
233,Lead paint abatement (if needed),Demolition & Remediation
234,Mold remediation (if needed),Demolition & Remediation
235,Demolish existing structure,Demolition & Remediation
236,Remove foundation (if needed),Demolition & Remediation
237,Remove underground tanks (if needed),Demolition & Remediation
238,Remove debris and haul-off,Demolition & Remediation
239,Site contamination cleanup (if needed),Demolition & Remediation
240,Confirm compaction after removals,Demolition & Remediation
241,Clear trees and brush,Clearing & Earthwork
242,Stump removal,Clearing & Earthwork
243,Grub topsoil and organics,Clearing & Earthwork
244,Strip and stockpile topsoil,Clearing & Earthwork
245,Rough grading,Clearing & Earthwork
246,Cut/fill operations,Clearing & Earthwork
247,Import fill (if needed),Clearing & Earthwork
248,Export spoils (if needed),Clearing & Earthwork
249,Rock excavation (if needed),Clearing & Earthwork
250,Blasting (if needed),Clearing & Earthwork
251,Install temporary drainage swales,Clearing & Earthwork
252,Install construction stormwater controls,Clearing & Earthwork
253,Excavate building pad,Clearing & Earthwork
254,Excavate for footings,Clearing & Earthwork
255,Excavate for basement (if any),Clearing & Earthwork
256,Excavate for crawlspace (if any),Clearing & Earthwork
257,Trench for utilities,Clearing & Earthwork
258,Install retaining wall subgrade (if needed),Clearing & Earthwork
259,Compaction testing,Clearing & Earthwork
260,Proof roll subgrade,Clearing & Earthwork
261,Install temporary shoring (if needed),Clearing & Earthwork
262,Install excavation dewatering (if needed),Clearing & Earthwork
263,Install soil nails (if needed),Clearing & Earthwork
264,Install slope stabilization matting (optional),Clearing & Earthwork
265,Install construction access road (temporary),Clearing & Earthwork
266,Apply for electric service,Utilities & Off-Grid
267,Install conduit for power service,Utilities & Off-Grid
268,Set transformer/pull box locations,Utilities & Off-Grid
269,Trench and install electrical service conduit,Utilities & Off-Grid
270,Pull service conductors,Utilities & Off-Grid
271,Install main service meter base,Utilities & Off-Grid
272,Apply for gas service,Utilities & Off-Grid
273,Trench and install gas line (if needed),Utilities & Off-Grid
274,Apply for municipal water service,Utilities & Off-Grid
275,Trench and install water service line,Utilities & Off-Grid
276,Install water meter box,Utilities & Off-Grid
277,Apply for sewer connection,Utilities & Off-Grid
278,Install sewer lateral,Utilities & Off-Grid
279,Install cleanouts,Utilities & Off-Grid
280,Install backwater valve (if needed),Utilities & Off-Grid
281,Install storm drain connection (if needed),Utilities & Off-Grid
282,Install onsite stormwater system (infiltration/rain garden),Utilities & Off-Grid
283,Drill well,Utilities & Off-Grid
284,Install well casing,Utilities & Off-Grid
285,Install well pump,Utilities & Off-Grid
286,Install pressure tank,Utilities & Off-Grid
287,Disinfect well,Utilities & Off-Grid
288,Well flow test,Utilities & Off-Grid
289,Well water quality test,Utilities & Off-Grid
290,Install water treatment (softener/filtration/UV),Utilities & Off-Grid
291,Install cistern (optional),Utilities & Off-Grid
292,Install rainwater harvesting system (optional),Utilities & Off-Grid
293,Install septic tank,Utilities & Off-Grid
294,Install drain field/leach field,Utilities & Off-Grid
295,Install distribution box,Utilities & Off-Grid
296,Install septic pump (if needed),Utilities & Off-Grid
297,Septic inspection and approval,Utilities & Off-Grid
298,Install propane tank (if needed),Utilities & Off-Grid
299,Install standby generator (optional),Utilities & Off-Grid
300,Install battery storage (optional),Utilities & Off-Grid
301,Install off-grid inverter system (optional),Utilities & Off-Grid
302,Install telecom conduit,Utilities & Off-Grid
303,Install fiber/cable drop,Utilities & Off-Grid
304,Install satellite internet (optional),Utilities & Off-Grid
305,Install trenchless utility boring (optional),Utilities & Off-Grid
306,Install whole-house water shutoff (smart) (optional),Utilities & Off-Grid
307,Install graywater system (optional),Utilities & Off-Grid
308,Install composting toilet system (optional),Utilities & Off-Grid
309,Install wood stove chimney (optional),Utilities & Off-Grid
310,Install pellet stove venting (optional),Utilities & Off-Grid
311,Form footings,Foundations & Concrete
312,Place footing rebar,Foundations & Concrete
313,Footing inspection,Foundations & Concrete
314,Pour footings,Foundations & Concrete
315,Cure footings,Foundations & Concrete
316,Form foundation walls,Foundations & Concrete
317,Place wall rebar,Foundations & Concrete
318,Install anchor bolts/hold-downs,Foundations & Concrete
319,Foundation wall inspection,Foundations & Concrete
320,Pour foundation walls,Foundations & Concrete
321,Strip forms,Foundations & Concrete
322,Damp-proof foundation,Foundations & Concrete
323,Waterproof foundation (full),Foundations & Concrete
324,Install perimeter drain (weeping tile),Foundations & Concrete
325,Install drain rock and filter fabric,Foundations & Concrete
326,Install sump pit and pump (if needed),Foundations & Concrete
327,Install radon rough-in (if needed),Foundations & Concrete
328,Install under-slab plumbing,Foundations & Concrete
329,Install under-slab electrical grounding,Foundations & Concrete
330,Install vapor barrier,Foundations & Concrete
331,Install under-slab insulation,Foundations & Concrete
332,Install slab reinforcement (rebar/mesh),Foundations & Concrete
333,Under-slab inspection,Foundations & Concrete
334,Pour slab,Foundations & Concrete
335,Finish slab surface,Foundations & Concrete
336,Saw-cut control joints,Foundations & Concrete
337,Cure slab,Foundations & Concrete
338,Build crawlspace piers (if any),Foundations & Concrete
339,Install crawlspace vapor barrier (if any),Foundations & Concrete
340,Install crawlspace insulation (if any),Foundations & Concrete
341,Backfill foundation,Foundations & Concrete
342,Final foundation elevation check,Foundations & Concrete
343,Deliver framing lumber package,Structural Framing
344,Frame sill plates,Structural Framing
345,Frame first-floor system,Structural Framing
346,Install subfloor,Structural Framing
347,Frame exterior walls,Structural Framing
348,Frame interior walls,Structural Framing
349,Install beams and headers,Structural Framing
350,Install shear walls,Structural Framing
351,Install metal connectors and straps,Structural Framing
352,Set floor trusses/I-joists (if any),Structural Framing
353,Frame second floor (if any),Structural Framing
354,Set roof trusses,Structural Framing
355,Frame roof rafters (if any),Structural Framing
356,Install roof sheathing,Structural Framing
357,Install wall sheathing,Structural Framing
358,Install house framing blocking,Structural Framing
359,Frame stairs,Structural Framing
360,Frame decks/porches (rough),Structural Framing
361,Install framing punch corrections,Structural Framing
362,Framing inspection,Structural Framing
363,Structural engineer site visit (optional),Structural Framing
364,Install roof underlayment,Roofing
365,Install ice & water shield,Roofing
366,Install roof flashing (valleys/walls),Roofing
367,Install drip edge,Roofing
368,Install roofing material (shingles),Roofing
369,Install roofing material (metal),Roofing
370,Install roofing material (tile),Roofing
371,Install ridge vent,Roofing
372,Install roof vents,Roofing
373,Install skylight rough openings,Roofing
374,Install skylights,Roofing
375,Install roof gutters,Roofing
376,Install downspouts,Roofing
377,Install rain chains (optional),Roofing
378,Install snow guards (optional),Roofing
379,Roofing inspection (if required),Roofing
380,Install WRB/housewrap,Exterior Envelope
381,Tape and seal WRB seams,Exterior Envelope
382,Install exterior air barrier membrane (optional),Exterior Envelope
383,Install exterior rigid insulation (optional),Exterior Envelope
384,Install furring/rainscreen battens,Exterior Envelope
385,Install exterior flashing tape,Exterior Envelope
386,Install window pan flashing prep,Exterior Envelope
387,Install exterior corner beads (as needed),Exterior Envelope
388,Install exterior foam trim (optional),Exterior Envelope
389,Install siding (fiber cement),Exterior Envelope
390,Install siding (wood),Exterior Envelope
391,Install siding (vinyl),Exterior Envelope
392,Install siding (metal),Exterior Envelope
393,Install stucco base coat,Exterior Envelope
394,Install stucco finish coat,Exterior Envelope
395,Install brick veneer,Exterior Envelope
396,Install stone veneer,Exterior Envelope
397,Install exterior trim,Exterior Envelope
398,Install soffit and fascia,Exterior Envelope
399,Install exterior caulking/sealants,Exterior Envelope
400,Install exterior vents (dryer/bath/hood),Exterior Envelope
401,Install exterior hose bibbs,Exterior Envelope
402,Install exterior electrical boxes (rough),Exterior Envelope
403,Install exterior paint/stain,Exterior Envelope
404,Install exterior masonry seal (optional),Exterior Envelope
405,Install brick ties (brick veneer),Exterior Envelope
406,Install weep screed (stucco),Exterior Envelope
407,Install rainscreen vent strips,Exterior Envelope
408,Install exterior foam board seams taped,Exterior Envelope
409,Install kick-out flashing,Exterior Envelope
410,Set windows,Windows & Exterior Doors
411,Flash windows,Windows & Exterior Doors
412,Air seal window gaps,Windows & Exterior Doors
413,Install exterior doors,Windows & Exterior Doors
414,Install door thresholds,Windows & Exterior Doors
415,Install sliding/patio doors,Windows & Exterior Doors
416,Install multi-panel door systems (optional),Windows & Exterior Doors
417,Install garage door tracks,Windows & Exterior Doors
418,Install garage door opener,Windows & Exterior Doors
419,Install storm doors (optional),Windows & Exterior Doors
420,Install window screens,Windows & Exterior Doors
421,Install window trim (exterior),Windows & Exterior Doors
422,Layout plumbing runs,Rough Plumbing
423,Install DWV (drain/waste/vent) rough-in,Rough Plumbing
424,Install water supply rough-in (PEX/copper),Rough Plumbing
425,Install tub/shower rough-ins,Rough Plumbing
426,Install toilet rough-ins,Rough Plumbing
427,Install hose bibb rough-ins,Rough Plumbing
428,Install gas piping rough-in (if applicable),Rough Plumbing
429,Install manifold system (if applicable),Rough Plumbing
430,Install pressure test plumbing,Rough Plumbing
431,Rough plumbing inspection,Rough Plumbing
432,Install exterior sewer line to main/septic,Rough Plumbing
433,Install cleanouts and vents through roof,Rough Plumbing
434,Install water heater rough location prep,Rough Plumbing
435,Install recirculation loop rough-in (optional),Rough Plumbing
436,Install radiant floor piping (optional),Rough Plumbing
437,Install fire sprinkler piping rough-in (if combined contractor),Rough Plumbing
438,Rough-in plumbing for Kitchen,Rough Plumbing
439,Rough-in plumbing for Primary bath,Rough Plumbing
440,Rough-in plumbing for Guest bath,Rough Plumbing
441,Rough-in plumbing for Powder room,Rough Plumbing
442,Rough-in plumbing for Laundry,Rough Plumbing
443,Rough-in plumbing for Mudroom,Rough Plumbing
444,Rough-in plumbing for Garage,Rough Plumbing
445,Rough-in plumbing for Basement,Rough Plumbing
446,Rough-in plumbing for Attic,Rough Plumbing
447,Rough-in plumbing for Mechanical room,Rough Plumbing
448,Rough-in plumbing for Outdoor,Rough Plumbing
449,Electrical layout and box placement,Rough Electrical
450,Install service panel (rough),Rough Electrical
451,Install grounding and bonding,Rough Electrical
452,Run branch circuit wiring,Rough Electrical
453,Install receptacle boxes,Rough Electrical
454,Install switch boxes,Rough Electrical
455,Install ceiling fan boxes,Rough Electrical
456,Install can light housings (as applicable),Rough Electrical
457,Install smoke/CO wiring,Rough Electrical
458,Install exterior lighting rough boxes,Rough Electrical
459,Install dedicated circuits (kitchen/laundry),Rough Electrical
460,Install EV charger rough-in (optional),Rough Electrical
461,Install subpanel (optional),Rough Electrical
462,Run wiring for appliances,Rough Electrical
463,Run wiring for well pump (if applicable),Rough Electrical
464,Run wiring for septic pump (if applicable),Rough Electrical
465,Rough electrical inspection,Rough Electrical
466,Temporary power to permanent cutover planning,Rough Electrical
467,Rough-in electrical for Kitchen,Rough Electrical
468,Rough-in electrical for Primary bath,Rough Electrical
469,Rough-in electrical for Guest bath,Rough Electrical
470,Rough-in electrical for Powder room,Rough Electrical
471,Rough-in electrical for Laundry,Rough Electrical
472,Rough-in electrical for Mudroom,Rough Electrical
473,Rough-in electrical for Garage,Rough Electrical
474,Rough-in electrical for Basement,Rough Electrical
475,Rough-in electrical for Attic,Rough Electrical
476,Rough-in electrical for Mechanical room,Rough Electrical
477,Rough-in electrical for Outdoor,Rough Electrical
478,HVAC equipment set (rough placement),Rough HVAC
479,Install ductwork rough-in,Rough HVAC
480,Install duct chases and returns,Rough HVAC
481,Install bath fan ducting,Rough HVAC
482,Install kitchen hood ducting,Rough HVAC
483,Install dryer vent ducting,Rough HVAC
484,Install refrigerant linesets (mini-split),Rough HVAC
485,Install condensate drains,Rough HVAC
486,Install ERV/HRV rough ducting,Rough HVAC
487,Install thermostat wiring,Rough HVAC
488,Install zoning dampers (optional),Rough HVAC
489,Rough HVAC inspection (if required),Rough HVAC
490,Rough-in ventilation for Kitchen,Rough HVAC
491,Rough-in ventilation for Primary bath,Rough HVAC
492,Rough-in ventilation for Guest bath,Rough HVAC
493,Rough-in ventilation for Powder room,Rough HVAC
494,Rough-in ventilation for Laundry,Rough HVAC
495,Rough-in ventilation for Mudroom,Rough HVAC
496,Rough-in ventilation for Garage,Rough HVAC
497,Rough-in ventilation for Basement,Rough HVAC
498,Rough-in ventilation for Attic,Rough HVAC
499,Rough-in ventilation for Mechanical room,Rough HVAC
500,Rough-in ventilation for Outdoor,Rough HVAC
501,Run Cat6 ethernet drops,Low Voltage & Smart Home
502,Run coax drops (optional),Low Voltage & Smart Home
503,Install structured media panel (rough),Low Voltage & Smart Home
504,Run speaker wire (whole-home audio),Low Voltage & Smart Home
505,Run doorbell wiring,Low Voltage & Smart Home
506,Run security sensor wiring (doors/windows),Low Voltage & Smart Home
507,Run camera wiring,Low Voltage & Smart Home
508,Run PoE switch wiring plan,Low Voltage & Smart Home
509,Run smart shade wiring (optional),Low Voltage & Smart Home
510,Run intercom wiring (optional),Low Voltage & Smart Home
511,Run access control wiring (optional),Low Voltage & Smart Home
512,Run wifi access point wiring (ceiling),Low Voltage & Smart Home
513,Install conduit for future low-voltage expansion,Low Voltage & Smart Home
514,Low-voltage rough-in walkthrough,Low Voltage & Smart Home
515,Fire sprinkler rough-in (if applicable),Fire Protection
516,Fire sprinkler pressure test,Fire Protection
517,Fire sprinkler inspection,Fire Protection
518,Install fire-rated assemblies (as required),Fire Protection
519,Install fire caulking at penetrations,Fire Protection
520,Install firestopping at chases,Fire Protection
521,Install garage-to-house fire separation,Fire Protection
522,Install fire-rated door (garage entry),Fire Protection
523,Install fire alarm system rough-in (optional),Fire Protection
524,Air seal penetrations,Insulation & Air Sealing
525,Install draft stops,Insulation & Air Sealing
526,Install fire blocking,Insulation & Air Sealing
527,Install wall insulation (batts),Insulation & Air Sealing
528,Install wall insulation (spray foam),Insulation & Air Sealing
529,Install attic insulation,Insulation & Air Sealing
530,Install crawlspace insulation,Insulation & Air Sealing
531,Install rim joist insulation,Insulation & Air Sealing
532,Install sound insulation (interior walls),Insulation & Air Sealing
533,Install vapor retarder (as required),Insulation & Air Sealing
534,Insulation inspection,Insulation & Air Sealing
535,Blower door test (pre-drywall) (optional),Insulation & Air Sealing
536,Seal attic hatch,Insulation & Air Sealing
537,Seal recessed lighting (if needed),Insulation & Air Sealing
538,Install exterior continuous insulation (optional),Insulation & Air Sealing
539,Install interior vapor barrier membrane (optional),Insulation & Air Sealing
540,Seal rim joists (spray foam) (optional),Insulation & Air Sealing
541,Install acoustic sealant at plates (optional),Insulation & Air Sealing
542,Install airtight electrical boxes (optional),Insulation & Air Sealing
543,Install drywall on ceilings,Drywall & Interior Shell
544,Install drywall on walls,Drywall & Interior Shell
545,Drywall screw inspection (optional),Drywall & Interior Shell
546,Tape drywall seams,Drywall & Interior Shell
547,Apply first coat mud,Drywall & Interior Shell
548,Apply second coat mud,Drywall & Interior Shell
549,Apply finish coat mud,Drywall & Interior Shell
550,Sand drywall,Drywall & Interior Shell
551,Texture walls/ceilings (optional),Drywall & Interior Shell
552,Install corner bead,Drywall & Interior Shell
553,Prime drywall,Drywall & Interior Shell
554,Install interior doors (slabs),Interior Finishes
555,Install door jambs and casing,Interior Finishes
556,Install baseboards,Interior Finishes
557,Install window casing,Interior Finishes
558,Install crown molding (optional),Interior Finishes
559,Install wainscoting (optional),Interior Finishes
560,Install built-in shelves (optional),Interior Finishes
561,Install closet systems (optional),Interior Finishes
562,Install stair treads/risers,Interior Finishes
563,Install stair railing and balusters,Interior Finishes
564,Install interior paint (walls),Interior Finishes
565,Install interior paint (ceilings),Interior Finishes
566,Install accent walls (optional),Interior Finishes
567,Install wallpaper (optional),Interior Finishes
568,Install handrail returns,Interior Finishes
569,Deliver cabinets to site,Cabinetry & Built-ins
570,Install kitchen base cabinets,Cabinetry & Built-ins
571,Install kitchen wall cabinets,Cabinetry & Built-ins
572,Install bathroom vanities,Cabinetry & Built-ins
573,Install laundry cabinets (optional),Cabinetry & Built-ins
574,Install pantry built-ins (optional),Cabinetry & Built-ins
575,Install mudroom built-ins (optional),Cabinetry & Built-ins
576,Install garage cabinets (optional),Cabinetry & Built-ins
577,Install closet built-ins (optional),Cabinetry & Built-ins
578,Cabinet adjustment and leveling,Cabinetry & Built-ins
579,Install cabinet hardware (pulls/knobs),Cabinetry & Built-ins
580,Template countertops,Countertops & Surfaces
581,Fabricate countertops,Countertops & Surfaces
582,Install countertops,Countertops & Surfaces
583,Install backsplash (tile/stone),Countertops & Surfaces
584,Install undermount sink,Countertops & Surfaces
585,Install sink faucet holes drilling (if needed),Countertops & Surfaces
586,Seal stone countertops (optional),Countertops & Surfaces
587,Install underlayment,Flooring
588,Install hardwood flooring,Flooring
589,Install engineered wood flooring,Flooring
590,Install LVP/LVT flooring,Flooring
591,Install laminate flooring,Flooring
592,Install carpet padding,Flooring
593,Install carpet,Flooring
594,Install stair nosing,Flooring
595,Install floor transitions,Flooring
596,Install base shoe molding,Flooring
597,Flooring punch and touch-ups,Flooring
598,Waterproof shower pan,Tile & Stone
599,Install shower wall waterproofing,Tile & Stone
600,Install shower niche (optional),Tile & Stone
601,Tile shower walls,Tile & Stone
602,Tile shower floor,Tile & Stone
603,Tile bathroom floors,Tile & Stone
604,Tile kitchen backsplash,Tile & Stone
605,Tile laundry/mudroom floors,Tile & Stone
606,Grout tile,Tile & Stone
607,Seal grout (optional),Tile & Stone
608,Install stone thresholds,Tile & Stone
609,Install tile trim edges,Tile & Stone
610,Mask and protect surfaces,Painting & Wall Finishes
611,Spray primer (interior),Painting & Wall Finishes
612,Spray paint (interior),Painting & Wall Finishes
613,Roll and cut-in (interior),Painting & Wall Finishes
614,Paint trim and doors,Painting & Wall Finishes
615,Stain woodwork (optional),Painting & Wall Finishes
616,Touch-up paint,Painting & Wall Finishes
617,Final caulking and paint touch-ups,Painting & Wall Finishes
618,Install baseboards,Trim & Doors
619,Install door casing,Trim & Doors
